,Unique Values
zpid,15171
city,9
streetAddress,15164
zipcode,48
description,15132
latitude,14410
longitude,12480
propertyTaxRate,3
garageSpaces,14
hasAssociation,2
hasCooling,2
hasGarage,2
hasHeating,2
hasSpa,2
hasView,2
homeType,10
parkingSpaces,14
yearBuilt,115
latestPrice,2365
numPriceChanges,22
latest_saledate,958
latest_salemonth,12
latest_saleyear,4
latestPriceSource,225
numOfPhotos,151
numOfAccessibilityFeatures,8
numOfAppliances,13
numOfParkingFeatures,7
numOfPatioAndPorchFeatures,9
numOfSecurityFeatures,7
numOfWaterfrontFeatures,3
numOfWindowFeatures,5
numOfCommunityFeatures,9
lotSizeSqFt,1426
livingAreaSqFt,3650
numOfPrimarySchools,3
numOfElementarySchools,3
numOfMiddleSchools,4
numOfHighSchools,3
avgSchoolDistance,362
avgSchoolRating,27
avgSchoolSize,160
MedianStudentsPerTeacher,10
numOfBathrooms,22
numOfBedrooms,11
numOfStories,4
homeImage,15171
